City,Latitude,Longitude
ALBANY,42.6511674,-73.754968
Abbeville,50.1060835,1.8337029
Abbeville                               ,50.1060835,1.8337029
Abbotsford,49.0521162,-122.329479
Abbotsford                              ,49.0521162,-122.329479
Abbott,31.88993015,-97.0870830633423
Aberdeen,57.1482429,-2.0928095
Abilene,32.44645,-99.7475905
Abilene                                 ,32.44645,-99.7475905
Accident,39.6289521,-79.3208439
Acworth,34.0659329,-84.6768796
Ada,43.4136539,-116.2367421
Adairsville,34.3683267,-84.9349057
Adams,39.9787786,-91.2110065
Addison,41.931696,-87.9889556
Adel,41.6174123,-94.0185176
Adrian,41.8975152,-84.0373054
Afton,44.9027452,-92.7835373
Ahoskie,36.2855245,-76.9857687
Aiken,33.5616173,-81.7224579
Ainsworth,41.2889125,-91.5523838
Airdrie                                 ,51.28597,-114.01062
Akron,41.083064,-81.518485
Alabaster,33.2442813,-86.8163773
Alamogordo,32.8998822,-105.9602081
Alamosa,37.5780995,-105.7890452
Albany,42.6511674,-73.754968
Albert Lea,43.6480127,-93.3682656
Albion,54.3151594,-1.91815321114879
Albuquerque,35.0841034,-106.650985
Alburgh                                 ,52.44158905,1.32305015085914
Alda,40.8701915,-98.4674217
Alden,42.5201895,-93.3762693
Aledo,32.6979939,-97.6039937828002
Alexander,37.1801529,-89.3502834
Alexandria,44.83495335,8.74503041860587
Algodones,35.3806512,-106.4792491
Algona,43.0699663,-94.233019
Alice,27.7522487,-98.0697249
Allen                                   ,36.7528961,-86.1924103
Allentown,40.6022059,-75.4712794
Alliance,42.0971897,-102.8707145
Alma,48.548887,-71.651459
Alma                                    ,48.548887,-71.651459
Alpharetta,34.0709576,-84.2747329
Alpine,38.5893934,-119.8345013
Alsip,41.6689223,-87.7386619
Alsip                                   ,41.6689223,-87.7386619
Altamont,37.1903448,-95.2971928
Altoona,40.518681,-78.394736
Altoona                                 ,40.518681,-78.394736
Altus,34.6381255,-99.3339754
Alva,36.8030501,-98.6660278
Alvada,41.0503322,-83.4018693
Alvarado,32.4095565,-97.2102881040462
Alvarado                                ,32.4095565,-97.2102881040462
Alvord,43.3421522,-96.3011207
Amarillo,35.20729,-101.8371192
Amelia Court House,37.3420146,-77.9809885
American Falls,42.7860227,-112.854437
American Fork,40.3768064,-111.7959146
Americus,32.0723862,-84.2326876
Amery,45.2995265,-92.3638639787015
Ames,50.536715,2.4086536
Amherst,42.3731948,-72.5198761
Amite,31.1729865,-90.8217568
Anadarko,35.0725323,-98.243981
Anahuac,29.7713308,-94.6785092
Anamosa,42.1083371,-91.2851594
Andalusia,37.3399964,-4.5811614
Anderson,31.7819242,-95.6258199
Andover,45.2332985,-93.2913405
Andrews,32.2690953,-102.6042447
Angola,-11.8775768,17.5691241
Ankeny,41.7320796,-93.605092
Anna,39.0204311,-0.6461361
Annawan,41.3972573,-89.9045518
Annville                                ,37.3192547,-83.9704832
Anoka,45.2710195,-93.2827625
Anthony,37.1533554,-98.0311728
Anthony                                 ,37.1533554,-98.0311728
Antigo,45.1404664,-89.1524959
Antioch,38.0049214,-121.805789
Apache Junction,33.4150485,-111.549577
Apalachin,42.0695189,-76.1546504
Apex,35.7325352,-78.8505516
Appleton,44.2613967,-88.4069744
Arcadia,34.1362075,-118.0401497
Arcadia                                 ,34.1362075,-118.0401497
Ardmore,34.1729273,-97.1309119
Arkadelphia,34.1209292,-93.053784
Arlington,32.7355816,-97.1071186
Arnett,36.1349641,-99.7710699
Artesia,33.8690197,-118.0796195
Ash Fork,35.216333,-112.491385803819
Ashdown,33.67344,-94.1299625
Asheboro,35.7079146,-79.8136446
Asherton,28.4464946,-99.7620766
Ashford,51.148555,0.8722566
Ashland,46.2062319,-90.6802594
Ashley,33.1742582,-91.7295595
Ashville,33.8369216,-86.2549799
Aspermont,43.7832717,7.2440882
Atalissa,41.5711357,-91.1659888
Atchison,40.4144817,-95.4359392
Athens,33.9597677,-83.376398
Atkins,41.9968696,-91.8619127
Atkinson,31.3030105,-82.8839362
Atlanta,33.7489924,-84.3902644
Atmore,31.0237921,-87.4938708
Atoka,34.3284948,-96.017838
Attapulgus,30.7495931,-84.4838713665414
Atwood,39.7994772,-88.4622789
Aubrey,33.3142085,-96.9756322949702
Auburn,47.3075369,-122.2301808
Audubon,41.670205,-94.9106526
Augusta,33.4709714,-81.9748429
Augusta                                 ,33.4709714,-81.9748429
Aurora,41.7571701,-88.3147539
Austin,30.2711286,-97.7436995
Austin                                  ,30.2711286,-97.7436995
Austinburg,41.7720075,-80.8546999
Austinburg                              ,41.7720075,-80.8546999
Austinville,-28.1571005,153.31265454092
Avenel,40.5848314,-74.2730161435562
Avenel                                  ,40.5848314,-74.2730161435562
Avis,39.07950305,-7.90956052862268
Avoca,43.948575,-95.645565
Avon,48.4048867,2.7207225
Avon                                    ,48.4048867,2.7207225
Avondale,33.4355977,-112.349602
Ayer,42.5595807,-71.5882561
Aynor,33.9998881,-79.1994874
Ayr,55.4628044,-4.6302502
Azle,32.8975875,-97.5437799
Aztec,36.8220629,-107.992899
Baden,48.0076713,16.2343693
Baileyville,45.1549515,-67.4050134
Bainbridge,30.9038252,-84.5754768
Baird,32.3946111,-99.3963478
Baker,0.19541795,-176.477935880591
Baker City,44.7748748,-117.834384
Bald Knob,35.3098066,-91.5679114
Baldwin,33.0869398,-83.2633216
Baldwin                                 ,33.0869398,-83.2633216
Balgonie,50.4892758,-104.2669058
Ballinger,31.7411047,-99.9530698
Baltimore,39.2908816,-76.610759
Baltimore                               ,39.2908816,-76.610759
Bangor,44.8016255,-68.7713289
Bangs,31.7170958,-99.1325529
Baraboo,43.4704014,-89.7437844
Barberton,41.012833,-81.6051221
Bardstown,37.8092463,-85.4669015
Barneveld,52.17150665,5.64543924995403
Barnhart,38.344221,-90.3934532
Barrington,42.1539141,-88.1361888
Barron,45.423557,-91.8454099
Barry,43.1463184,0.0211297
Bartlesville,36.7421089,-95.9528877
Bartow,34.2394683,-84.8406984
Bassett,43.0630293,-92.5154602
Bastian,37.1520626,-81.1500931
Bastrop,30.0541116,-97.3887764
Batavia,-6.175247,106.8270488
Bates City,39.0061187,-94.072446
Batesburg,33.9079201,-81.5473262
Batesville,35.7708144,-91.6531128
Batesville                              ,35.7708144,-91.6531128
Bath,51.3813864,-2.3596963
Baton Rouge                             ,30.4494155,-91.1869659
Battle Creek,42.3192548,-85.1824269
Battle Mountain,40.6430355,-116.938619134411
Baxley,31.7773202,-82.3490533
Baxter,36.2820691,-92.3445222
Bay City,43.5944677,-83.8888648
Beach,46.9180689,-104.0043728
Bealeton,38.585005,-77.7756440351205
Bear Creek,34.2748197,-87.7005833
Beatrice,40.266429,-96.747369
Beaumont,30.0860459,-94.1018461
Beaver,40.6916624,-80.3709999
Beaver Dam,43.4577692,-88.837329
Beaverdam,40.832992,-83.9742826
Beckley,37.7781702,-81.1881557
Bedford,40.0271453,-78.5237447
Bedford                                 ,40.0271453,-78.5237447
Bedford Park,41.7690519,-87.7770096
Beebe,35.0735738,-91.8863516
Beech Island,33.4273614,-81.8909473
Beech Island                            ,33.4273614,-81.8909473
Beeville,28.4008319,-97.7483312
Belden,40.0015725,-121.26949092027
Belen,52.510885,13.3989367
Belfield,46.8852906,-103.1996219
Belgium,50.6402809,4.6667145
Belgium                                 ,50.6402809,4.6667145
Belgrade,44.8178131,20.4568974
Belgrade                                ,44.8178131,20.4568974
Belhaven,55.9982968,-2.5350544
Belle Chasse,29.844148,-90.0140042150161
Belle Fourche                           ,44.6731329,-103.8517342
Belle Plaine,41.8969202,-92.277323
Belle Rose,30.03857065,-91.0546175639949
Bellefontaine,48.0151724,6.4433771
Bellefonte,40.9134862,-77.7737471
Bellemont,35.2373443,-111.820629
Belleville,48.8176714,6.0982683
Bellingham,48.7544012,-122.478836
Bellows Falls                           ,43.134063,-72.444534
Bellville,29.9502253,-96.2571858
Bellwood,41.8814197,-87.883117
Belmont,48.4095949,7.234863
Belmont                                 ,48.4095949,7.234863
Beloit,42.5083272,-89.031784
Beloit                                  ,42.5083272,-89.031784
Belton,31.0560132,-97.464453
Beltsville,39.0397735,-76.9271850566261
Belvidere,42.2579991,-88.841734
Bemidji,47.4785418,-94.8907869
Benjamin                                ,33.5841372,-99.7914388
Bennet,40.6790215,-96.5078002
Bennett,43.1854085,-101.655263
Bennettsville,34.6173803,-79.6847814
Bensalem,40.1045549,-74.951279
Bensenville,41.9538384,-87.9431781
Benson,48.0191362,-99.403103
Bentleyville,41.413109,-81.410947
Benton,42.0599693,-92.0776319
Benton Harbor,42.1167065,-86.4541894
Benton Harbor                           ,42.1167065,-86.4541894
Berea,41.3661614,-81.8543026
Beresford                               ,43.0806132,-96.7742341
Bergen,60.3943055,5.3259192
Berlin,52.510885,13.3989367
Bernalillo,35.0349239,-106.6870693
Berthoud,40.329325,-105.125868528626
Berwick,55.7692442,-2.0026472
Berwyn,41.8505874,-87.7936685
Bessemer,33.4017766,-86.954437
Bessemer                                ,33.4017766,-86.954437
Bethany,40.2683344,-94.0282861
Bethel,60.7922222,-161.755833
Bethel                                  ,60.7922222,-161.755833
Bethlehem,31.7043556,35.2061876
Bettendorf,47.5852476,7.2770871
Bevier,39.7469768,-92.5640769
Bevington,41.3605472,-93.7907776
Biddeford,43.4925843,-70.4533844
Bidwell,50.818226,-3.5167654
Big Bend,41.01040355,-121.922359683723
Big Cabin,36.5378651,-95.221358
Big Lake,31.1954739,-101.4592746
Big Pool,39.6237066,-78.0158337
Big Rapids,43.698078,-85.483656
Big Spring,32.250398,-101.4787356
Big Spring                              ,32.250398,-101.4787356
Big Springs,36.6016535,-112.3499036
Big Timber,45.834901,-109.955311
Big Timber                              ,45.834901,-109.955311
Billings,45.7874957,-108.49607
Billings                                ,45.7874957,-108.49607
Biloxi,30.4007626,-88.8893818
Biloxi                                  ,30.4007626,-88.8893818
Binghamton,42.098698,-75.9125187
Birmingham,52.4796992,-1.9026911
Birmingham                              ,52.4796992,-1.9026911
Bishopville,34.2182107,-80.2484056
Bismarck,46.808327,-100.783739
Black Earth,43.1390386,-89.7479249
Black River Falls,44.2952152,-90.8484137
Black Rock,36.1088761,-91.0982824
Blackfoot,43.190039,-112.348357
Blackfoot                               ,43.190039,-112.348357
Blacksburg,37.2296566,-80.4136767
Blackshear,31.3042798,-82.2404922
Blackwell,32.0869699,-100.318889
Bladenboro                              ,34.5386768,-78.7875887
Bladensburg,38.9392997,-76.9337983
Blaine,45.1607987,-93.2349489
Blair,40.4870748,-78.3682329
Blairs,36.6798596,-79.3730788
Blairsville,34.8759067,-83.958371
Blakeslee,41.5242175,-84.7302334
Blanco,30.2419274,-98.4004594
Bland,37.1312101,-81.1154109
Blandford,42.1807576,-72.9278159
Bliss,42.9267744,-114.9492739
Bloomer,45.1015011,-91.4887197
Bloomfield,40.7510398,-92.4143872
Bloomingdale,41.9575285,-88.0809036
Bloomington,39.1670396,-86.5342881
Bloomington                             ,39.1670396,-86.5342881
Bloomsburg,41.0044958,-76.4537302
Bloomsbury,51.5210963,-0.1289635
Bloomsbury                              ,51.5210963,-0.1289635
Bloomsdale,38.0094981,-90.2178964
Blossburg,41.6795186,-77.0638567
Blountstown                             ,30.4435293,-85.0451953
Blue Earth,44.0109722,-94.0560643
Bluffton                                ,46.4691278,-95.2330859
Blunt                                   ,44.512583,-99.989931
Blythe,33.6134767,-114.5937537
Blytheville,35.9288199,-89.9073557
Blytheville                             ,35.9288199,-89.9073557
Blythewood,34.2143159,-80.973977
Boardman,45.839855,-119.700583
Boaz,34.1983281,-86.1649421
Bogata,46.4564083,24.1196172
Bois D Arc,37.2564382,-93.507696
Boise,43.6166163,-116.200886
Boise City,43.6166163,-116.200886
Boles,38.5308857,-90.8901376
Bolingbrook,41.7003302,-88.0717708
Bolivar,6.0383525,-63.4543943772571
Bonduel,44.7399556,-88.4461285
Bondurant,41.7005441,-93.462157
Bonita Springs,26.339806,-81.7786972
Bonners Ferry,48.6912781,-116.31614
Boonville,38.9751547,-92.7440277
Bordentown,40.1462685,-74.7114508
Borger,35.6689767,-101.3919481
Boscobel,43.1346751,-90.7057398
Bossier City,32.515887,-93.7336536
Boulder,40.0149856,-105.270545
Bound Brook                             ,40.5684363,-74.5384889
Bourbon                                 ,37.8485797,-94.8679591
Bourbonnais,41.1639309,-87.8839693
Bow,51.5309383,-0.0274853
Bowie,33.4198886,-94.4479626
Bowling Green,36.9903199,-86.4436018
Bowling Green                           ,36.9903199,-86.4436018
Bowman,46.1010498,-103.5086625
Bowman                                  ,46.1010498,-103.5086625
Bowmansville,40.1967609,-76.0174416
Box Elder,41.3586056,-113.2112072
Boyce,39.0931617,-78.0594426
Boyce                                   ,39.0931617,-78.0594426
Boylston,42.353279,-71.7343582
Boynton Beach,26.5256179,-80.0666026
Bracey,36.5951779,-78.1390116
Bradenton,27.4989278,-82.5748194
Bradner,41.3242192,-83.4385387
Brady,31.1316876,-99.3348678
Brainerd,46.3580221,-94.2008288
Braman,36.9236404,-97.3336552
Brampton                                ,43.685832,-79.7599366
Branchville,41.1464852,-74.7523874
Brandon,46.35270835,4.57760866770412
Brandon                                 ,46.35270835,4.57760866770412
Brandywine,38.69345485,-76.8843081020897
Branford,41.2795414,-72.8150989
Brantford,43.1408157,-80.2631733
Braselton,34.1092735,-83.7626729
Brattleboro,42.8507588,-72.5572913
Brawley,33.018515,-115.515942508323
Brazil,-10.3333333,-53.2
Brazil                                  ,-10.3333333,-53.2
Breaux Bridge,30.2735323,-91.8992837
Breaux Bridge                           ,30.2735323,-91.8992837
Breckenridge,32.7558392,-98.9032554
Breezewood,39.9990119,-78.2404221
Breezewood                              ,39.9990119,-78.2404221
Bremen,53.0758196,8.8071646
Brenham,30.1668828,-96.3977442
Brent,32.9373463,-87.1647184
Brewerton,43.2381242,-76.1407575
Brewton,31.1039239,-87.0722655
Bridgeport,41.1792695,-73.1887863
Bridgeton,38.7566055,-90.42352
Bridgeview,41.7500323,-87.8042216
